WOT-DATA,1,"Полные названия танков, оригинал – как в игре."
china-Ch01_Type59,Type 59
china-Ch02_Type62,Type 62
china-Ch03_WZ-111,WZ-111
china-Ch04_T34_1,T-34-1
china-Ch05_T34_2,T-34-2
china-Ch06_Renault_NC31,Renault NC-31
china-Ch07_Vickers_MkE_Type_BT26,Vickers Mk. E Type B
china-Ch08_Type97_Chi_Ha,Type 2597 Chi-Ha
china-Ch09_M5,M5A1 Stuart
china-Ch10_IS2,IS-2
china-Ch11_110,110
china-Ch12_111_1_2_3,WZ-111 model 1-4
china-Ch15_59_16,59-16
china-Ch16_WZ_131,WZ-131
china-Ch17_WZ131_1_WZ132,WZ-132
china-Ch18_WZ-120,WZ-120
china-Ch19_121,121
china-Ch20_Type58,Type 58
china-Ch21_T34,Type T-34
china-Ch22_113,113
china-Ch23_112,112
france-_105_leFH18B2,105 leFH18B2
france-AMX_105AM,AMX 13 105 AM mle. 50
france-AMX_12t,AMX 12 t
france-AMX_13_75,AMX 13 75
france-AMX_13_90,AMX 13 90
france-AMX_13F3AM,AMX 13 F3 AM
france-AMX_50_100,AMX 50 100
france-AMX_50_120,AMX 50 120
france-AMX_50Fosh_155,AMX 50 Foch (155)
france-AMX_AC_Mle1946,AMX AC mle. 46
france-AMX_AC_Mle1948,AMX AC mle. 48
france-AMX_M4_1945,AMX M4 mle. 45
france-AMX_Ob_Am105,AMX 105 AM mle. 47
france-AMX38,AMX 38
france-AMX40,AMX 40
france-AMX50_Foch,AMX 50 Foch
france-ARL_44,ARL 44
france-ARL_V39,ARL V39
france-B1,B1
france-Bat_Chatillon155_55,Bat.-Châtillon 155 55
france-Bat_Chatillon155_58,Bat.-Châtillon 155 58
france-Bat_Chatillon25t,Bat.-Châtillon 25 t
france-BDR_G1B,BDR G1 B
france-D1,D1
france-D2,D2
france-ELC_AMX,ELC AMX
france-F10_AMX_50B,AMX 50 B
france-FCM_36Pak40,FCM 36 Pak 40
france-FCM_50t,FCM 50 t
france-Hotchkiss_H35,Hotchkiss H35
france-Lorraine155_50,Lorraine 155 mle. 50
france-Lorraine155_51,Lorraine 155 mle. 51
