WOT-DATA,1,"Short tank names, original – like in the game."
china-Ch01_Type59,Type 59
china-Ch02_Type62,Type 62
china-Ch03_WZ-111,WZ-111
france-_105_leFH18B2,leFH18B2
france-AMX_105AM,AMX 105AM
france-AMX_12t,AMX12t
france-AMX_13_75,AMX 13 75
france-AMX_13_90,AMX 13 90
france-AMX_13F3AM,AMX13F3AM
france-AMX_50_100,AMX50 100
france-AMX_50_120,AMX50 120
france-AMX_50Fosh_155,AMX50F155
france-AMX_AC_Mle1946,AC Mle.1946
france-AMX_AC_Mle1948,AC Mle.48
france-AMX_M4_1945,AMX M4 45
france-AMX38,AMX 38
france-AMX40,AMX 40
france-AMX50_Foch,AMX50Foch
france-ARL_44,ARL 44
france-ARL_V39,ARL V39
france-B1,B1
france-Bat_Chatillon155,B.Chat.155
france-Bat_Chatillon25t,BatChat.25t
france-BDR_G1B,BDR G1B
france-D1,D1
france-D2,D2
france-ELC_AMX,ELC AMX
france-F10_AMX_50B,AMX50B
france-FCM_36Pak40,FCM36P40
france-Hotchkiss_H35,H35
france-Lorraine155_50,Lor.155 50
france-Lorraine155_51,Lor.155 51
france-Lorraine39_L_AM,Lorr.39LAM
france-Lorraine40t,Lorraine40t
france-RenaultBS,BS
france-RenaultFT,FT-17
france-RenaultFT_AC,Ren.FT AC
france-RenaultUE57,Renault UE 57
france-S_35CA,S-35CA
france-Somua_Sau_40,Somua S40
germany-B-1bis_captured,Pz B2
germany-Bison_I,Bison
germany-DickerMax,D. Max
germany-E-100,E-100
germany-E-50,E-50
germany-E50_Ausf_M,E-50M
germany-E-75,E-75
germany-Ferdinand,Ferdinand
germany-G_E,GwTyp E
germany-G_Panther,GwPanther
germany-G_Tiger,GwTiger
germany-G20_Marder_II,Marder II
germany-Grille,Grille
germany-H39_captured,Pz38H735f
germany-Hetzer,Hetzer
germany-Hummel,Hummel
germany-JagdPanther,JgPanther
germany-JagdPantherII,JgPanthII
germany-JagdPz_E100,JgPzE100
germany-JagdPzIV,JagdPzIV
germany-JagdTiger,Jagdtiger
germany-JagdTiger_SdKfz_185,JgTig.8.8 cm
germany-Lowe,Löwe
